Weight_g,Sample
1.2342,Bif LF W 1 F
1.2053,Bif LF W 2 F
1.2771,Bif LF W 3 F
2.2568,Bif LF W 4 F
1.9561,Bif LF W 5 F
1.53,Bif LF W 6 F
0.9555,Bif LF W 7 F
1.51,Bif LF W 8 F
1.313,Bif LF S 1 F
2.2547,Bif LF S 2 F
1.3741,Bif LF S 3 F
2.37,Bif LF S 4 F
1.915,Bif LF S 5 F
2.2342,Bif LF S 6 F
2.0466,Bif LF S 7 F
1.4359,Bif LF S 8 F
1.52844,CPF LF W 1 F
1.75622,CPF LF W 2 F
2.7124,CPF LF W 3 F
1.97762,CPF LF W 4 F
2.1374,CPF LF W 5 F
1.05613,CPF LF W 6 F
2.1385,CPF LF W 7 F
1.5732,CPF LF W 8 F
1.92467,CPF LF S 1 F
2.35063,CPF LF S 2 F
1.74634,CPF LF S 3 F
1.21391,CPF LF S 4 F
1.61425,CPF LF S 5 F
1.10899,CPF LF S 6 F
2.06684,CPF LF S 7 F
2.81971,CPF LF S 8 F
2.17026,TFS LF W 1 F
2.00347,TFS LF W 2 F
1.71391,TFS LF W 3 F
1.99867,TFS LF W 4 F
2.44503,TFS LF W 5 F
1.29912,TFS LF W 6 F
1.60032,TFS LF W 7 F
0.97445,TFS LF W 8 F
2.43309,TFS LF S 1 F
1.82782,TFS LF S 2 F
1.15759,TFS LF S 3 F
1.61034,TFS LF S 4 F
2.02866,TFS LF S 5 F
1.56956,TFS LF S 6 F
2.13002,TFS LF S 7 F
1.80722,TFS LF S 8 F
