USGS Station Name,Date of Sample Collection,Frog ID,Weight (grams),Species,34-DCA,35-DCA,Azoxystrobin,Bifenthrin,Carbofuran,Flusilazole,Malathion,Methidathion,Methoprene,Myclobutanil,ppdde,ppddt,Permethrin,Pyraclostrobin,Simazine,Tebuconazole
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2061,2.45,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,55.5,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2062,2.15,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,60.7,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2063,3.43,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2064,3.39,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.9,nd,2.2
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2065,2.48,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.9,nd,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2066,4.24,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,7.9,nd,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2067,3.77,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.5,nd,12.1
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2068,2.61,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.5,nd,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2069,4.13,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,3,nd,nd
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2070,2.48,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,7.6
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2071,2.53,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,7.2
"Pond next to Jordan Creek nr Groveland, CA",3/18/2010,PMK2072,2.78,Pseudacris regilla,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,4,nd,26.3
