Frog ID,Treatment,Grid ID,Cort?,Frog Weight (g),SVL (mm),Brain weight (mg),AChE buffer (uL) for duplicates,Liver weight (mg),Liver Buffer for GSH (uL)
C1,Control,B4,Yes,3.4454,34.5,47.4,237,38.7,348.3
C2,Control,A7,Yes,2.9907,30.5,39.1,195.5,32.9,296.1
C3,Control,G8,Yes,2.301,27.2,39.3,196.5,35.3,317.7
C4,Control,H3,Yes,3.0074,33,38,190,28.5,256.5
C5,Control,C5,Yes,2.5984,29.5,57.1,285.5,26.7,240.3
C6,Control,E6,Yes,3.6688,34.5,41.9,209.5,49.1,441.9
C7,Control,B4,Yes,3.9826,30.8,53,265,42.7,384.3
C8,Control,A7,Yes,1.4871,25.1,21.2,106,12.9,116.1
C9,Control,G8,Yes,2.8613,31.8,47.3,236.5,18.9,170.1
C10,Control,H3,Yes,4.325,35.5,47.5,237.5,40.3,362.7
C11,Control,C5,Yes,2.3221,28.5,38,190,27.2,244.8
C12,Control,E6,Yes,2.6145,29.3,21.2,106,29.4,264.6
C13,Control,H3,No,3.5568,33,46,230,55.6,500.4
C14,Control,A7,No,2.0344,27,32,160,24.4,219.6
C15,Control,H1,No,1.8901,26.8,27.9,139.5,34.8,313.2
C16,Control,G6,No,3.4872,31.9,28.4,142,92.7,834.3
C17,Control,A2,No,2.9796,30.5,31.3,156.5,30.4,273.6
C18,Control,D4,No,2.4063,30.5,33.8,169,18.5,166.5
Z1,Atrazine,F3,Yes,2.6316,29.2,45.8,229,31.5,283.5
Z2,Atrazine,H6,Yes,2.6161,29.1,27.3,136.5,26.6,239.4
Z3,Atrazine,E7,Yes,2.1122,27.8,23.2,116,28.7,258.3
Z4,Atrazine,B6,Yes,3.3128,32.2,35.1,175.5,23.8,214.2
Z5,Atrazine,D2,Yes,2.5713,28.1,24.3,121.5,45.3,407.7
Z6,Atrazine,F8,Yes,1.8519,27.2,32.7,163.5,13.8,124.2
Z7,Atrazine,F3,Yes,4.5554,32.1,37.1,185.5,102.3,920.7
Z8,Atrazine,H6,Yes,3.6254,33.1,25.1,125.5,75,675
Z9,Atrazine,E7,Yes,2.8051,29.1,25.2,126,35.5,319.5
Z10,Atrazine,B6,Yes,3.9503,34.1,42.9,214.5,33.3,299.7
Z11,Atrazine,D2,Yes,3.6025,33.8,30.5,152.5,60.9,548.1
Z12,Atrazine,F8,Yes,2.9042,31.2,23.7,118.5,29.5,265.5
Z13,Atrazine,E3,No,2.5926,27.2,39.7,198.5,27.4,246.6
Z14,Atrazine,G8,No,3.45,30.8,35,175,82.4,741.6
Z15,Atrazine,F2,No,4.2454,32.2,33.6,168,52.8,475.2
Z16,Atrazine,D1,No,3.1211,32.5,52.8,264,93.8,844.2
Z17,Atrazine,B5,No,4.4353,34.8,45.8,229,43.8,394.2
Z18,Atrazine,D3,No,3.0693,34.5,47.6,238,28.1,252.9
L1,Alachlor,C2,Yes,2.714,28.5,25.1,125.5,30.8,277.2
L2,Alachlor,G1,Yes,2.181,31.2,46,230,24.4,219.6
L3,Alachlor,F7,Yes,3.4804,34.2,35.1,175.5,46.7,420.3
L4,Alachlor,D7,Yes,3.581,33.2,30.9,154.5,22.7,204.3
L5,Alachlor,F6,Yes,2.1209,26.5,41.5,207.5,30.2,271.8
L6,Alachlor,B2,Yes,4.1267,32.5,47.9,239.5,49.7,447.3
L7,Alachlor,C2,Yes,2.2933,30.5,17.4,87,64.3,578.7
L8,Alachlor,G1,Yes,2.2074,29.8,19,95,51.1,459.9
L9,Alachlor,F7,Yes,1.9848,27.2,44.7,223.5,27.6,248.4
L10,Alachlor,D7,Yes,2.8765,30.1,22.8,114,86.8,781.2
L11,Alachlor,F6,Yes,3.1215,31.4,39.9,199.5,29.4,264.6
L12,Alachlor,B2,Yes,2.6753,28.2,35.1,175.5,37.7,339.3
L13,Alachlor,B2,No,2.6239,25.5,22.5,112.5,45.9,413.1
L14,Alachlor,A5,No,3.4551,32.5,44.4,222,61.2,550.8
L15,Alachlor,C3,No,5.5893,38.5,41,205,66.9,602.1
L16,Alachlor,D7,No,2.8485,31.5,39.5,197.5,43.6,392.4
L17,Alachlor,G7,No,3.7588,32.5,36.1,180.5,36.1,324.9
L18,Alachlor,H5,No,3.6792,32.8,37.3,186.5,70.6,635.4
ZL1,Atrazine + Alachlor,F5,Yes,2.871,28.2,31.7,158.5,40.3,362.7
ZL2,Atrazine + Alachlor,A2,Yes,20.235,28.1,24.1,120.5,38,342
ZL3,Atrazine + Alachlor,D3,Yes,1.9015,27.2,32.2,161,22.3,200.7
ZL4,Atrazine + Alachlor,G2,Yes,2.4023,28.8,45.3,226.5,39.2,352.8
ZL5,Atrazine + Alachlor,C7,Yes,2.2534,29.5,32.9,164.5,23.1,207.9
ZL6,Atrazine + Alachlor,G7,Yes,2.1474,28.8,18.2,91,30.8,277.2
ZL7,Atrazine + Alachlor,F5,Yes,2.9632,29.9,18.8,94,37.3,335.7
ZL8,Atrazine + Alachlor,A2,Yes,1.5397,25.9,32.8,164,30.8,277.2
ZL9,Atrazine + Alachlor,D3,Yes,1.9321,28.8,39.3,196.5,23.3,209.7
ZL10,Atrazine + Alachlor,G2,Yes,3.3231,30.5,45.2,226,99.3,893.7
ZL11,Atrazine + Alachlor,C7,Yes,1.682,25.5,24.6,123,32.7,294.3
ZL12,Atrazine + Alachlor,F5,Yes,1.7178,26.4,34.3,171.5,63.8,574.2
ZL13,Atrazine + Alachlor,H8,No,3.6405,33.5,44.9,224.5,32.5,292.5
ZL14,Atrazine + Alachlor,E2,No,3.455,33,40.5,202.5,46.4,417.6
ZL15,Atrazine + Alachlor,C4,No,4.3476,34.2,45.9,229.5,24,216
ZL16,Atrazine + Alachlor,D7,No,5.226,35.2,24.1,120.5,59.4,534.6
ZL17,Atrazine + Alachlor,B8,No,2.0911,28.2,32.4,162,29.4,264.6
ZL18,Atrazine + Alachlor,A4,No,3.7822,31,39.5,197.5,52.7,474.3
N1,Urea,E2,Yes,2.0823,27.2,35,175,41.9,377.1
N2,Urea,D6,Yes,3.127,31.5,46.5,232.5,46.5,418.5
N3,Urea,H7,Yes,2.5665,27.6,34.7,173.5,47.6,428.4
N4,Urea,G5,Yes,3.1968,30.5,30.2,151,59.7,537.3
N5,Urea,C4,Yes,2.6369,28,38.1,190.5,24.1,216.9
N6,Urea,B7,Yes,2.5575,28.5,37.2,186,29.2,262.8
N7,Urea,E2,Yes,2.5953,27.9,31.7,158.5,38.9,350.1
N8,Urea,D6,Yes,1.7243,26.2,25.9,129.5,12.9,116.1
N9,Urea,H7,Yes,1.8859,26.5,28.8,144,12,108
N10,Urea,G5,Yes,1.7938,27.2,41.6,208,41.6,374.4
N11,Urea,C4,Yes,2.1769,28.8,29.8,149,35,315
N12,Urea,B7,Yes,3.6321,33.5,14.9,74.5,18.2,163.8
N13,Urea,A7,No,3.4283,32.2,40.1,200.5,19.2,172.8
N14,Urea,H4,No,5.0411,34.9,38.5,192.5,77.5,697.5
N15,Urea,A8,No,4.0286,33.5,38.3,191.5,45.7,411.3
N16,Urea,C1,No,5.0037,36.5,46.8,234,65.3,587.7
N17,Urea,F5,No,3.854,34.6,28.6,143,45.5,409.5
N18,Urea,D2,No,3.609,35,44.1,220.5,44.6,401.4
ZN1,Atrazine + Urea,F4,Yes,1.9043,28.2,31.1,155.5,24.3,218.7
ZN2,Atrazine + Urea,B3,Yes,1.5914,25.5,24.3,121.5,17.3,155.7
ZN3,Atrazine + Urea,H8,Yes,2.4954,28.5,12.8,64,26.1,234.9
ZN4,Atrazine + Urea,G6,Yes,4.0468,31.5,44.1,220.5,36.9,332.1
ZN5,Atrazine + Urea,H1,Yes,3.0512,31,22.8,114,34.7,312.3
ZN6,Atrazine + Urea,C8,Yes,1.6602,25.8,23.3,116.5,25.7,231.3
ZN7,Atrazine + Urea,F4,Yes,2.9206,30.5,28.8,144,42.3,380.7
ZN8,Atrazine + Urea,B3,Yes,2.4913,31.5,43.5,217.5,36.4,327.6
ZN9,Atrazine + Urea,H8,Yes,2.0796,28.8,47.3,236.5,25.3,227.7
ZN10,Atrazine + Urea,G6,Yes,2.2731,28.8,42.3,211.5,31.4,282.6
ZN11,Atrazine + Urea,H1,Yes,1.4208,23.5,36.6,183,14.3,128.7
ZN12,Atrazine + Urea,C8,Yes,2.65,28.5,39.4,197,16.5,148.5
ZN13,Atrazine + Urea,H2,No,4.8689,35.8,50.6,253,56.8,511.2
ZN14,Atrazine + Urea,G1,No,4.6047,33.1,44.4,222,34.1,306.9
ZN15,Atrazine + Urea,B6,No,4.0417,32.5,26.3,131.5,25.3,227.7
ZN16,Atrazine + Urea,F5,No,3.3774,31.5,27.1,135.5,36.2,325.8
ZN17,Atrazine + Urea,F8,No,5.2596,34.8,24,120,69,621
ZN18,Atrazine + Urea,A1,No,2.6801,31.9,33.2,166,35.9,323.1
LN1,Alachlor + Urea,G3,Yes,2.0852,28.8,26.7,133.5,26.2,235.8
LN2,Alachlor + Urea,A4,Yes,2.4107,29.8,36.2,181,24,216
