time,parent,analyte,matrix,species,conc,ID,weight
0,atrazine,atrazine,amphib,LF,2.579782807,LFA0-1,1.8401
0,atrazine,atrazine,amphib,LF,1.691182353,LFA0-2,2.8486
0,atrazine,atrazine,amphib,LF,12.52319717,LFA0-3,2.307
0,atrazine,atrazine,amphib,LF,2.970273811,LFA0-4,2.2679
0,atrazine,atrazine,amphib,LF,8.050942336,LFA0-5,2.1439
0,atrazine,atrazine,amphib,LF,7.478230678,LFA0-6,1.8628
2,atrazine,atrazine,amphib,LF,2.186808836,LFA2-1,3.039
2,atrazine,atrazine,amphib,LF,5.338854395,LFA2-2,2.0345
2,atrazine,atrazine,amphib,LF,1.693429589,LFA2-3,2.196
2,atrazine,atrazine,amphib,LF,8.968187875,LFA2-4,2.6681
2,atrazine,atrazine,amphib,LF,1.454206808,LFA2-5,2.3648
2,atrazine,atrazine,amphib,LF,1.718054357,LFA2-6,1.9188
4,atrazine,atrazine,amphib,LF,1.715569485,LFA4-1,2.3476
4,atrazine,atrazine,amphib,LF,6.984378843,LFA4-2,2.6426
4,atrazine,atrazine,amphib,LF,6.344470461,LFA4-3,2.4232
4,atrazine,atrazine,amphib,LF,5.22674822,LFA4-4,2.445
4,atrazine,atrazine,amphib,LF,6.179038725,LFA4-5,2.948
4,atrazine,atrazine,amphib,LF,6.938256641,LFA4-6,1.6108
6,atrazine,atrazine,amphib,LF,10.56528408,LFA6-1,2.1958
6,atrazine,atrazine,amphib,LF,3.335388968,LFA6-2,1.2869
6,atrazine,atrazine,amphib,LF,2.457491841,LFA6-3,2.1608
6,atrazine,atrazine,amphib,LF,3.983431248,LFA6-4,1.6483
6,atrazine,atrazine,amphib,LF,2.391884077,LFA6-5,1.8843
6,atrazine,atrazine,amphib,LF,11.18965486,LFA6-6,2.469
8,atrazine,atrazine,amphib,LF,2.162953353,LFA8-1,3.1323
8,atrazine,atrazine,amphib,LF,1.650446686,LFA8-2,2.2558
8,atrazine,atrazine,amphib,LF,6.76940713,LFA8-3,1.446
8,atrazine,atrazine,amphib,LF,6.916300496,LFA8-4,2.0923
8,atrazine,atrazine,amphib,LF,5.647878305,LFA8-5,2.1607
8,atrazine,atrazine,amphib,LF,5.714846427,LFA8-6,1.8342
10,atrazine,atrazine,amphib,LF,3.480676652,LFA10-1,2.4663
10,atrazine,atrazine,amphib,LF,1.886771004,LFA10-2,2.0268
10,atrazine,atrazine,amphib,LF,10.2979071,LFA10-3,2.2651
10,atrazine,atrazine,amphib,LF,8.724901716,LFA10-4,2.3059
10,atrazine,atrazine,amphib,LF,1.892744068,LFA10-5,2.2861
10,atrazine,atrazine,amphib,LF,3.632494432,LFA10-6,2.2728
0,atrazine,dia,amphib,LF,0.883956554,LFA0-1,1.8401
0,atrazine,dia,amphib,LF,0.205952276,LFA0-2,2.8486
0,atrazine,dia,amphib,LF,2.264216568,LFA0-3,2.307
0,atrazine,dia,amphib,LF,1.482399083,LFA0-4,2.2679
0,atrazine,dia,amphib,LF,3.373042598,LFA0-5,2.1439
0,atrazine,dia,amphib,LF,2.225213926,LFA0-6,1.8628
2,atrazine,dia,amphib,LF,0.471455178,LFA2-1,3.039
2,atrazine,dia,amphib,LF,1.949823738,LFA2-2,2.0345
2,atrazine,dia,amphib,LF,0.292870608,LFA2-3,2.196
2,atrazine,dia,amphib,LF,3.731628198,LFA2-4,2.6681
2,atrazine,dia,amphib,LF,0.14346792,LFA2-5,2.3648
2,atrazine,dia,amphib,LF,0.26117143,LFA2-6,1.9188
4,atrazine,dia,amphib,LF,0.6469172,LFA4-1,2.3476
4,atrazine,dia,amphib,LF,1.788309618,LFA4-2,2.6426
4,atrazine,dia,amphib,LF,2.700054508,LFA4-3,2.4232
4,atrazine,dia,amphib,LF,2.092548368,LFA4-4,2.445
4,atrazine,dia,amphib,LF,2.353271366,LFA4-5,2.948
4,atrazine,dia,amphib,LF,1.975622073,LFA4-6,1.6108
6,atrazine,dia,amphib,LF,3.855276739,LFA6-1,2.1958
6,atrazine,dia,amphib,LF,1.141669373,LFA6-2,1.2869
6,atrazine,dia,amphib,LF,0.927557192,LFA6-3,2.1608
6,atrazine,dia,amphib,LF,1.405738977,LFA6-4,1.6483
6,atrazine,dia,amphib,LF,1.161620282,LFA6-5,1.8843
6,atrazine,dia,amphib,LF,1.95303981,LFA6-6,2.469
8,atrazine,dia,amphib,LF,0.545024076,LFA8-1,3.1323
8,atrazine,dia,amphib,LF,0.408263481,LFA8-2,2.2558
8,atrazine,dia,amphib,LF,3.362166411,LFA8-3,1.446
8,atrazine,dia,amphib,LF,1.016458624,LFA8-4,2.0923
8,atrazine,dia,amphib,LF,0.36577586,LFA8-5,2.1607
8,atrazine,dia,amphib,LF,1.810445265,LFA8-6,1.8342
10,atrazine,dia,amphib,LF,2.258392125,LFA10-1,2.4663
10,atrazine,dia,amphib,LF,0.736112269,LFA10-2,2.0268
10,atrazine,dia,amphib,LF,2.600443851,LFA10-3,2.2651
10,atrazine,dia,amphib,LF,2.130334501,LFA10-4,2.3059
10,atrazine,dia,amphib,LF,0.439163266,LFA10-5,2.2861
10,atrazine,dia,amphib,LF,0.570875335,LFA10-6,2.2728
0,atrazine,dea,amphib,LF,0.685584346,LFA0-1,1.8401
0,atrazine,dea,amphib,LF,0.118879766,LFA0-2,2.8486
0,atrazine,dea,amphib,LF,1.338857338,LFA0-3,2.307
0,atrazine,dea,amphib,LF,1.093625539,LFA0-4,2.2679
0,atrazine,dea,amphib,LF,2.380726136,LFA0-5,2.1439
0,atrazine,dea,amphib,LF,1.682752858,LFA0-6,1.8628
2,atrazine,dea,amphib,LF,0.287109189,LFA2-1,3.039
2,atrazine,dea,amphib,LF,1.196575679,LFA2-2,2.0345
2,atrazine,dea,amphib,LF,0.189837807,LFA2-3,2.196
2,atrazine,dea,amphib,LF,2.474574759,LFA2-4,2.6681
2,atrazine,dea,amphib,LF,0.111010166,LFA2-5,2.3648
2,atrazine,dea,amphib,LF,0.20206445,LFA2-6,1.9188
4,atrazine,dea,amphib,LF,0.558891269,LFA4-1,2.3476
4,atrazine,dea,amphib,LF,1.389183511,LFA4-2,2.6426
4,atrazine,dea,amphib,LF,2.339546273,LFA4-3,2.4232
4,atrazine,dea,amphib,LF,1.869070547,LFA4-4,2.445
4,atrazine,dea,amphib,LF,1.557399508,LFA4-5,2.948
4,atrazine,dea,amphib,LF,1.558110176,LFA4-6,1.6108
6,atrazine,dea,amphib,LF,3.079389639,LFA6-1,2.1958
6,atrazine,dea,amphib,LF,0.933856532,LFA6-2,1.2869
6,atrazine,dea,amphib,LF,0.778610102,LFA6-3,2.1608
6,atrazine,dea,amphib,LF,0.853475907,LFA6-4,1.6483
6,atrazine,dea,amphib,LF,0.689705614,LFA6-5,1.8843
6,atrazine,dea,amphib,LF,1.229569015,LFA6-6,2.469
8,atrazine,dea,amphib,LF,0.309594142,LFA8-1,3.1323
