time,parent,analyte,matrix,conc,replicate
2,atrazine,ATZ,amphib,3.06820272,1
2,atrazine,ATZ,amphib,3.689639699,2
2,atrazine,ATZ,amphib,4.701165885,3
2,atrazine,ATZ,amphib,1.892494228,4
4,atrazine,ATZ,amphib,7.624610214,1
4,atrazine,ATZ,amphib,4.13430025,2
4,atrazine,ATZ,amphib,2.050778713,3
4,atrazine,ATZ,amphib,7.626486309,4
12,atrazine,ATZ,amphib,2.452277711,1
12,atrazine,ATZ,amphib,3.786892753,2
12,atrazine,ATZ,amphib,4.514882392,3
12,atrazine,ATZ,amphib,1.741192334,4
24,atrazine,ATZ,amphib,2.272491609,1
24,atrazine,ATZ,amphib,1.843394997,2
24,atrazine,ATZ,amphib,1.12496207,3
24,atrazine,ATZ,amphib,0.978827141,4
48,atrazine,ATZ,amphib,0.961393825,1
48,atrazine,ATZ,amphib,0.631015591,2
48,atrazine,ATZ,amphib,0.93069942,3
48,atrazine,ATZ,amphib,1.484441109,4
0,atrazine,ATZ,soil,19.7005706,1
0,atrazine,ATZ,soil,13.84392339,2
0,atrazine,ATZ,soil,14.80677082,3
0,atrazine,ATZ,soil,15.37241396,4
2,atrazine,ATZ,soil,17.79390681,1
2,atrazine,ATZ,soil,13.70288652,2
2,atrazine,ATZ,soil,23.95868815,3
2,atrazine,ATZ,soil,20.66065617,4
4,atrazine,ATZ,soil,19.53278459,1
4,atrazine,ATZ,soil,22.2585347,2
4,atrazine,ATZ,soil,16.70434463,3
4,atrazine,ATZ,soil,16.5847004,4
12,atrazine,ATZ,soil,17.40716835,1
12,atrazine,ATZ,soil,26.23533816,2
12,atrazine,ATZ,soil,18.8400208,3
12,atrazine,ATZ,soil,19.97423414,4
24,atrazine,ATZ,soil,20.5514631,1
24,atrazine,ATZ,soil,28.93737638,2
24,atrazine,ATZ,soil,28.70646134,3
24,atrazine,ATZ,soil,21.78948131,4
48,atrazine,ATZ,soil,26.56876897,1
48,atrazine,ATZ,soil,22.36470844,2
48,atrazine,ATZ,soil,24.33164903,3
48,atrazine,ATZ,soil,32.47385316,4
2,atrazine,DIA,amphib,0.244389746,1
2,atrazine,DIA,amphib,0.272879769,2
2,atrazine,DIA,amphib,0.514589655,3
2,atrazine,DIA,amphib,0.283268223,4
4,atrazine,DIA,amphib,1.982229434,1
4,atrazine,DIA,amphib,0.706019584,2
4,atrazine,DIA,amphib,0.169062053,3
4,atrazine,DIA,amphib,0.910401654,4
12,atrazine,DIA,amphib,1.307780816,1
12,atrazine,DIA,amphib,1.686285381,2
12,atrazine,DIA,amphib,0.593288516,3
12,atrazine,DIA,amphib,0.746683696,4
24,atrazine,DIA,amphib,3.606532664,1
24,atrazine,DIA,amphib,2.500486811,2
24,atrazine,DIA,amphib,1.317924499,3
24,atrazine,DIA,amphib,0.528494822,4
48,atrazine,DIA,amphib,0.397349802,1
48,atrazine,DIA,amphib,0.04431556,2
48,atrazine,DIA,amphib,1.071270148,3
48,atrazine,DIA,amphib,1.136617318,4
0,atrazine,DIA,soil,0,1
0,atrazine,DIA,soil,0,2
0,atrazine,DIA,soil,0,3
0,atrazine,DIA,soil,0,4
2,atrazine,DIA,soil,-0.011723298,1
2,atrazine,DIA,soil,0.003224536,2
2,atrazine,DIA,soil,-0.009974494,3
2,atrazine,DIA,soil,-0.012435889,4
4,atrazine,DIA,soil,0.046538524,1
