exp_duration,chemical,tissue_conc_ugg,sample_id,soil_type,app_rate_g_cm2,soil_conc_ugg,body_weight_g,formulation,species,application,source
2,atrazine,3.06820272,atrazine_2hr_1,NA,0.0000229,17.79390681,0.8722,0,Anaxyrus_fowleri,soil,dag_metabolites
2,atrazine,3.689639699,atrazine_2hr_2,NA,0.0000229,13.70288652,0.89,0,Anaxyrus_fowleri,soil,dag_metabolites
2,atrazine,4.701165885,atrazine_2hr_3,NA,0.0000229,23.95868815,0.5668,0,Anaxyrus_fowleri,soil,dag_metabolites
2,atrazine,1.892494228,atrazine_2hr_4,NA,0.0000229,20.66065617,0.7135,0,Anaxyrus_fowleri,soil,dag_metabolites
4,atrazine,7.624610214,atrazine_4hr_1,NA,0.0000229,19.53278459,0.77,0,Anaxyrus_fowleri,soil,dag_metabolites
4,atrazine,4.13430025,atrazine_4hr_2,NA,0.0000229,22.2585347,0.7153,0,Anaxyrus_fowleri,soil,dag_metabolites
4,atrazine,2.050778713,atrazine_4hr_3,NA,0.0000229,16.70434463,0.9739,0,Anaxyrus_fowleri,soil,dag_metabolites
4,atrazine,7.626486309,atrazine_4hr_4,NA,0.0000229,16.5847004,0.5403,0,Anaxyrus_fowleri,soil,dag_metabolites
12,atrazine,2.452277711,atrazine_12hr_1,NA,0.0000229,17.40716835,0.4111,0,Anaxyrus_fowleri,soil,dag_metabolites
12,atrazine,3.786892753,atrazine_12hr_2,NA,0.0000229,26.23533816,0.8564,0,Anaxyrus_fowleri,soil,dag_metabolites
12,atrazine,4.514882392,atrazine_12hr_3,NA,0.0000229,18.8400208,1.06,0,Anaxyrus_fowleri,soil,dag_metabolites
12,atrazine,1.741192334,atrazine_12hr_4,NA,0.0000229,19.97423414,0.614,0,Anaxyrus_fowleri,soil,dag_metabolites
24,atrazine,2.272491609,atrazine_24hr_1,NA,0.0000229,20.5514631,0.5343,0,Anaxyrus_fowleri,soil,dag_metabolites
24,atrazine,1.843394997,atrazine_24hr_2,NA,0.0000229,28.93737638,0.687,0,Anaxyrus_fowleri,soil,dag_metabolites
24,atrazine,1.12496207,atrazine_24hr_3,NA,0.0000229,28.70646134,0.6553,0,Anaxyrus_fowleri,soil,dag_metabolites
24,atrazine,0.978827141,atrazine_24hr_4,NA,0.0000229,21.78948131,0.5026,0,Anaxyrus_fowleri,soil,dag_metabolites
48,atrazine,0.961393825,atrazine_48hr_1,NA,0.0000229,26.56876897,0.6456,0,Anaxyrus_fowleri,soil,dag_metabolites
48,atrazine,0.631015591,atrazine_48hr_2,NA,0.0000229,22.36470844,0.6671,0,Anaxyrus_fowleri,soil,dag_metabolites
48,atrazine,0.93069942,atrazine_48hr_3,NA,0.0000229,24.33164903,0.6276,0,Anaxyrus_fowleri,soil,dag_metabolites
48,atrazine,1.484441109,atrazine_48hr_4,NA,0.0000229,32.47385316,0.5903,0,Anaxyrus_fowleri,soil,dag_metabolites
2,triadimefon,0.489601403,triadimefon_2hr_1,NA,0.0000229,3.915163994,1.1024,0,Anaxyrus_fowleri,soil,dag_metabolites
2,triadimefon,0.306581872,triadimefon_2hr_2,NA,0.0000027,4.450902463,0.9285,0,Anaxyrus_fowleri,soil,dag_metabolites
2,triadimefon,0.376458575,triadimefon_2hr_3,NA,0.0000027,1.688343156,0.663,0,Anaxyrus_fowleri,soil,dag_metabolites
2,triadimefon,0.374511404,triadimefon_2hr_4,NA,0.0000027,4.577359522,0.6024,0,Anaxyrus_fowleri,soil,dag_metabolites
4,triadimefon,0.97804843,triadimefon_4hr_1,NA,0.0000027,5.783319171,1.0199,0,Anaxyrus_fowleri,soil,dag_metabolites
4,triadimefon,0.335365342,triadimefon_4hr_2,NA,0.0000027,4.935462785,0.9525,0,Anaxyrus_fowleri,soil,dag_metabolites
4,triadimefon,0.347101261,triadimefon_4hr_3,NA,0.0000027,5.065177266,0.6506,0,Anaxyrus_fowleri,soil,dag_metabolites
4,triadimefon,0.533983287,triadimefon_4hr_4,NA,0.0000027,5.316094756,0.5932,0,Anaxyrus_fowleri,soil,dag_metabolites
12,triadimefon,0.487313921,triadimefon_12hr_1,NA,0.0000027,4.923943959,0.5875,0,Anaxyrus_fowleri,soil,dag_metabolites
12,triadimefon,1.163882256,triadimefon_12hr_2,NA,0.0000027,6.277397501,0.1879,0,Anaxyrus_fowleri,soil,dag_metabolites
12,triadimefon,0.518446024,triadimefon_12hr_3,NA,0.0000027,5.355520847,0.8768,0,Anaxyrus_fowleri,soil,dag_metabolites
12,triadimefon,0.850015349,triadimefon_12hr_4,NA,0.0000027,7.160118125,0.8139,0,Anaxyrus_fowleri,soil,dag_metabolites
24,triadimefon,0.753354385,triadimefon_24hr_1,NA,0.0000027,4.987433206,0.7494,0,Anaxyrus_fowleri,soil,dag_metabolites
24,triadimefon,0.268774096,triadimefon_24hr_2,NA,0.0000027,4.742588571,0.7533,0,Anaxyrus_fowleri,soil,dag_metabolites
24,triadimefon,0.324932505,triadimefon_24hr_3,NA,0.0000027,5.137942579,0.7957,0,Anaxyrus_fowleri,soil,dag_metabolites
24,triadimefon,2.114540569,triadimefon_24hr_4,NA,0.0000027,4.412886734,0.9826,0,Anaxyrus_fowleri,soil,dag_metabolites
48,triadimefon,0.337985638,triadimefon_48hr_1,NA,0.0000027,3.55497782,0.7765,0,Anaxyrus_fowleri,soil,dag_metabolites
48,triadimefon,0.18812362,triadimefon_48hr_2,NA,0.0000027,4.545502603,1.0258,0,Anaxyrus_fowleri,soil,dag_metabolites
48,triadimefon,0.174854226,triadimefon_48hr_3,NA,0.0000027,4.412475335,0.8476,0,Anaxyrus_fowleri,soil,dag_metabolites
48,triadimefon,0.29378644,triadimefon_48hr_4,NA,0.0000027,4.208369195,0.6693,0,Anaxyrus_fowleri,soil,dag_metabolites
2,fipronil,3.719393647,fipronil_2hr_1,NA,0.0000011,0.922936959,0.4614,0,Anaxyrus_fowleri,soil,dag_metabolites
2,fipronil,1.880936052,fipronil_2hr_2,NA,0.0000011,0.786142128,0.2284,0,Anaxyrus_fowleri,soil,dag_metabolites
2,fipronil,0.570034283,fipronil_2hr_3,NA,0.0000011,0.610054177,0.7639,0,Anaxyrus_fowleri,soil,dag_metabolites
2,fipronil,1.297795327,fipronil_2hr_4,NA,0.0000011,0.942316574,0.3696,0,Anaxyrus_fowleri,soil,dag_metabolites
4,fipronil,0.88914103,fipronil_4hr_1,NA,0.0000011,0.979801855,0.9285,0,Anaxyrus_fowleri,soil,dag_metabolites
4,fipronil,2.023821797,fipronil_4hr_2,NA,0.0000011,0.566936486,0.7862,0,Anaxyrus_fowleri,soil,dag_metabolites
4,fipronil,0.949591323,fipronil_4hr_3,NA,0.0000011,0.793391982,0.6985,0,Anaxyrus_fowleri,soil,dag_metabolites
4,fipronil,1.339780158,fipronil_4hr_4,NA,0.0000011,1.132922299,0.2882,0,Anaxyrus_fowleri,soil,dag_metabolites
12,fipronil,0.608268662,fipronil_12hr_1,NA,0.0000011,0.591377077,1.1638,0,Anaxyrus_fowleri,soil,dag_metabolites
12,fipronil,0.870180984,fipronil_12hr_2,NA,0.0000011,0.847497739,0.8824,0,Anaxyrus_fowleri,soil,dag_metabolites
12,fipronil,0.489633965,fipronil_12hr_3,NA,0.0000011,1.00254497,1.4191,0,Anaxyrus_fowleri,soil,dag_metabolites
12,fipronil,0.29574225,fipronil_12hr_4,NA,0.0000011,0.828102962,1.4909,0,Anaxyrus_fowleri,soil,dag_metabolites
24,fipronil,0.329936663,fipronil_24hr_1,NA,0.0000011,0.654154588,0.5347,0,Anaxyrus_fowleri,soil,dag_metabolites
24,fipronil,0.278098705,fipronil_24hr_2,NA,0.0000011,0.768446185,0.764,0,Anaxyrus_fowleri,soil,dag_metabolites
24,fipronil,0.255766754,fipronil_24hr_3,NA,0.0000011,0.812837755,0.3892,0,Anaxyrus_fowleri,soil,dag_metabolites
