Sample ID,Analyte,Media,Matrix,Concentration
Bif LF W 1 F,BIF,Water,Amphibian,0.498690
Bif LF W 2 F,BIF,Water,Amphibian,0.678046
Bif LF W 3 F,BIF,Water,Amphibian,0.485876
Bif LF W 4 F,BIF,Water,Amphibian,0.454753
Bif LF W 5 F,BIF,Water,Amphibian,0.448733
Bif LF W 6 F,BIF,Water,Amphibian,0.406398
Bif LF W 7 F,BIF,Water,Amphibian,0.480391
Bif LF W 8 F,BIF,Water,Amphibian,0.440856
Bif LF S 1 F,BIF,Soil,Amphibian,0.108558
Bif LF S 2 F,BIF,Soil,Amphibian,0.094022
Bif LF S 3 F,BIF,Soil,Amphibian,0.114565
Bif LF S 4 F,BIF,Soil,Amphibian,0.074500
Bif LF S 5 F,BIF,Soil,Amphibian,0.095261
Bif LF S 6 F,BIF,Soil,Amphibian,0.073592
Bif LF S 7 F,BIF,Soil,Amphibian,0.082735
Bif LF S 8 F,BIF,Soil,Amphibian,0.217679
Bif LF W 1,BIF,Water,Water,0.303545
Bif LF W 2,BIF,Water,Water,0.402658
Bif LF W 3,BIF,Water,Water,0.255204
Bif LF W 4,BIF,Water,Water,0.291741
Bif LF W 5,BIF,Water,Water,0.458766
Bif LF W 6,BIF,Water,Water,1.702596
Bif LF W 7,BIF,Water,Water,0.230657
Bif LF W 8,BIF,Water,Water,0.271464
Bif LF S 1 S,BIF,Soil,Soil,0.338880
Bif LF S 2 S,BIF,Soil,Soil,0.385833
Bif LF S 3 S,BIF,Soil,Soil,0.354759
Bif LF S 4 S,BIF,Soil,Soil,0.328681
Bif LF S 5 S,BIF,Soil,Soil,0.286841
Bif LF S 6 S,BIF,Soil,Soil,0.317522
Bif LF S 7 S,BIF,Soil,Soil,0.248066
Bif LF S 8 S,BIF,Soil,Soil,0.354871
Bif LF W 1 F,4-OH,Water,Amphibian,0.000000
Bif LF W 2 F,4-OH,Water,Amphibian,0.000000
Bif LF W 3 F,4-OH,Water,Amphibian,0.000000
Bif LF W 4 F,4-OH,Water,Amphibian,0.000000
Bif LF W 5 F,4-OH,Water,Amphibian,0.000000
Bif LF W 6 F,4-OH,Water,Amphibian,0.000000
Bif LF W 7 F,4-OH,Water,Amphibian,0.000000
Bif LF W 8 F,4-OH,Water,Amphibian,0.000000
Bif LF S 1 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 2 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 3 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 4 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 5 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 6 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 7 F,4-OH,Soil,Amphibian,0.000000
Bif LF S 8 F,4-OH,Soil,Amphibian,0.000000
Bif LF W 1,4-OH,Water,Water,0.000000
Bif LF W 2,4-OH,Water,Water,0.000000
Bif LF W 3,4-OH,Water,Water,0.000000
Bif LF W 4,4-OH,Water,Water,0.000000
Bif LF W 5,4-OH,Water,Water,0.000000
Bif LF W 6,4-OH,Water,Water,0.000000
Bif LF W 7,4-OH,Water,Water,0.000000
Bif LF W 8,4-OH,Water,Water,0.000000
Bif LF S 1 S,4-OH,Soil,Soil,0.000000
Bif LF S 2 S,4-OH,Soil,Soil,0.000000
Bif LF S 3 S,4-OH,Soil,Soil,0.000000
Bif LF S 4 S,4-OH,Soil,Soil,0.000000
Bif LF S 5 S,4-OH,Soil,Soil,0.000000
Bif LF S 6 S,4-OH,Soil,Soil,0.000000
