Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA,soil,sample_id
ATZ,1,-1,-1,ATZT,Amphib,71.52121587,1.7134,1.789268512,12.69771491,ATZ_ATZT
ATZ,1,-1,-1,ATZT,Amphib,25.08110461,2.5341,2.244322411,19.53422036,ATZ_ATZT
ATZ,1,-1,-1,ATZT,Amphib,19.38292403,2.0332,1.975638925,13.95176297,ATZ_ATZT
ATZ,1,-1,-1,ATZT,Amphib,25.87712484,3.6843,2.787345682,15.08549153,ATZ_ATZT
ATZ,1,-1,-1,ATZT,Amphib,6.776429551,2.1559,2.043818201,13.7795504,ATZ_ATZT
ATZ,1,-1,-1,ATZT,Amphib,42.67128214,2.1582,2.045080384,19.94532486,ATZ_ATZT
MA,-1,1,-1,MAT,Amphib,2.335542663,2.897,2.425154851,23.38718402,MA_MAT
MA,-1,1,-1,MAT,Amphib,0.401201109,2.0002,1.957008931,10.55445522,MA_MAT
MA,-1,1,-1,MAT,Amphib,0.653088188,2.0931,2.009133027,9.966445081,MA_MAT
MA,-1,1,-1,MAT,Amphib,0.255474657,2.4281,2.189478269,11.033564,MA_MAT
MA,-1,1,-1,MAT,Amphib,0.284731883,1.8155,1.850248779,15.67963061,MA_MAT
MA,-1,1,-1,MAT,Amphib,0.14012427,2.2664,2.103832524,7.726574354,MA_MAT
PZ,-1,-1,1,PROPT,Amphib,0.000537811,3.9973,2.922094388,2.285530658,PZ_PROPT
PZ,-1,-1,1,PROPT,Amphib,0.380895431,2.8816,2.417682157,1.669634522,PZ_PROPT
PZ,-1,-1,1,PROPT,Amphib,0.375235724,1.998,1.955762348,2.267828698,PZ_PROPT
PZ,-1,-1,1,PROPT,Amphib,0.247443503,1.9545,1.93099412,1.688230622,PZ_PROPT
PZ,-1,-1,1,PROPT,Amphib,0.285562211,1.1879,1.447334277,0.735373911,PZ_PROPT
PZ,-1,-1,1,PROPT,Amphib,0.139716725,2.3395,2.142858733,1.27316806,PZ_PROPT
ATZMA,1,1,-1,ATZT,Amphib,4.105411726,1.766,1.820869873,14.55805778,ATZMA_ATZT
ATZMA,1,1,-1,ATZT,Amphib,18.0828639,2.2464,2.093063099,13.65665823,ATZMA_ATZT
ATZMA,1,1,-1,ATZT,Amphib,27.68256624,2.0137,1.964645815,13.8229852,ATZMA_ATZT
ATZMA,1,1,-1,ATZT,Amphib,19.04559785,1.8167,1.850956779,15.02127697,ATZMA_ATZT
ATZMA,1,1,-1,ATZT,Amphib,13.29249991,1.2746,1.507588417,13.06283651,ATZMA_ATZT
ATZMA,1,1,-1,ATZT,Amphib,7.289789952,1.9827,1.947076892,14.02436294,ATZMA_ATZT
ATZMA,1,1,-1,MAT,Amphib,0.300451872,1.766,1.820869873,14.73402463,ATZMA_MAT
ATZMA,1,1,-1,MAT,Amphib,2.008416532,2.2464,2.093063099,10.59984089,ATZMA_MAT
ATZMA,1,1,-1,MAT,Amphib,6.064364174,2.0137,1.964645815,15.45546267,ATZMA_MAT
