"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"1",3.48e-05,"soil",2.714,"alachlor",8,0,"L1",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.356555228
"2",3.48e-05,"soil",2.181,"alachlor",8,0,"L2",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.319343566
"3",3.48e-05,"soil",3.4804,"alachlor",8,0,"L3",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.163013493
"4",3.48e-05,"soil",3.581,"alachlor",8,0,"L4",NA,"USLOAM","rvm2019","Southern Leopard Frog",2.220608952
"5",3.48e-05,"soil",2.1209,"alachlor",8,0,"L5",NA,"USLOAM","rvm2019","Southern Leopard Frog",2.265282316
"6",3.48e-05,"soil",4.1267,"alachlor",8,0,"L6",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.414956285
"7",3.48e-05,"soil",2.2933,"alachlor",8,0,"L7",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.96779868
"8",3.48e-05,"soil",2.2074,"alachlor",8,0,"L8",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.069723768
"9",3.48e-05,"soil",1.9848,"alachlor",8,0,"L9",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.327355115
"10",3.48e-05,"soil",2.8765,"alachlor",8,0,"L10",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.953316158
"11",3.48e-05,"soil",3.1215,"alachlor",8,0,"L11",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.426336616
"12",3.48e-05,"soil",2.6753,"alachlor",8,0,"L12",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.361355088
"13",3.48e-05,"soil",2.0852,"alachlor",8,0,"LN1",NA,"USLOAM","rvm2019","Southern Leopard Frog",5.196193245
"14",3.48e-05,"soil",2.4107,"alachlor",8,0,"LN2",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.501941061
"15",3.48e-05,"soil",3.1404,"alachlor",8,0,"LN3",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.363870834
"16",3.48e-05,"soil",4.2137,"alachlor",8,0,"LN4",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.989807987
"17",3.48e-05,"soil",3.1159,"alachlor",8,0,"LN5",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.676685098
"18",3.48e-05,"soil",3.4274,"alachlor",8,0,"LN6",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.943442738
"19",3.48e-05,"soil",2.8438,"alachlor",8,0,"LN7",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.132635596
"20",3.48e-05,"soil",3.2914,"alachlor",8,0,"LN8",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.941861454
"21",3.48e-05,"soil",2.5194,"alachlor",8,0,"LN9",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.795412621
"22",3.48e-05,"soil",3.3872,"alachlor",8,0,"LN10",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.014438189
"23",3.48e-05,"soil",1.8423,"alachlor",8,0,"LN11",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.700398356
"24",3.48e-05,"soil",2.8698,"alachlor",8,0,"LN12",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.27274171
"25",3.48e-05,"soil",2.871,"alachlor",8,0,"ZL1",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.675270301
"26",3.48e-05,"soil",20.235,"alachlor",8,0,"ZL2",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.210133603
"27",3.48e-05,"soil",1.9015,"alachlor",8,0,"ZL3",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.791666984
"28",3.48e-05,"soil",2.4023,"alachlor",8,0,"ZL4",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.101772968
"29",3.48e-05,"soil",2.2534,"alachlor",8,0,"ZL5",NA,"USLOAM","rvm2019","Southern Leopard Frog",2.789383279
"30",3.48e-05,"soil",2.1474,"alachlor",8,0,"ZL6",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.692453563
"31",3.48e-05,"soil",2.9632,"alachlor",8,0,"ZL7",NA,"USLOAM","rvm2019","Southern Leopard Frog",3.479630751
"32",3.48e-05,"soil",1.5397,"alachlor",8,0,"ZL8",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.211749931
"33",3.48e-05,"soil",1.9321,"alachlor",8,0,"ZL9",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.06746308
"34",3.48e-05,"soil",3.3231,"alachlor",8,0,"ZL10",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.506628302
