ID,Group,atrazine,alachlor,urea,ppm,BCF
L1,L,No,Yes,No,1.356555228,0.070148749
L2,L,No,Yes,No,0.319343566,0.021896495
L3,L,No,Yes,No,1.163013493,0.08212384
L4,L,No,Yes,No,2.220608952,0.104597378
L5,L,No,Yes,No,2.265282316,0.121152334
L6,L,No,Yes,No,1.414956285,0.093220793
L7,L,No,Yes,No,1.96779868,0.085640481
L8,L,No,Yes,No,1.069723768,0.040940238
L9,L,No,Yes,No,0.327355115,0.040326089
L10,L,No,Yes,No,0.953316158,0.129670779
L11,L,No,Yes,No,0.426336616,0.032845968
L12,L,No,Yes,No,1.361355088,0.10528122
LN1,LN,No,Yes,Yes,5.196193245,0.267594909
LN2,LN,No,Yes,Yes,0.501941061,0.055382514
LN3,LN,No,Yes,Yes,0.363870834,0.037653423
LN4,LN,No,Yes,Yes,0.989807987,0.053901857
LN5,LN,No,Yes,Yes,1.676685098,0.071491058
LN6,LN,No,Yes,Yes,1.943442738,0.114818521
LN7,LN,No,Yes,Yes,1.132635596,0.036412267
LN8,LN,No,Yes,Yes,0.941861454,0.053984931
LN9,LN,No,Yes,Yes,1.795412621,0.094297738
LN10,LN,No,Yes,Yes,1.014438189,0.059689715
LN11,LN,No,Yes,Yes,0.700398356,0.024474777
LN12,LN,No,Yes,Yes,1.27274171,0.062912964
ZL1,ZL,Yes,Yes,No,0.675270301,0.056329424
ZL2,ZL,Yes,Yes,No,1.210133603,0.069305208
ZL3,ZL,Yes,Yes,No,0.791666984,0.068454864
ZL4,ZL,Yes,Yes,No,0.101772968,0.006002169
ZL5,ZL,Yes,Yes,No,2.789383279,0.243051398
ZL6,ZL,Yes,Yes,No,1.692453563,0.095297873
ZL7,ZL,Yes,Yes,No,3.479630751,0.238405771
ZL8,ZL,Yes,Yes,No,1.211749931,0.000944028
ZL9,ZL,Yes,Yes,No,1.06746308,0.081150425
ZL10,ZL,Yes,Yes,No,0.506628302,0.046151453
ZL11,ZL,Yes,Yes,No,1.019452694,0.057052991
ZL12,ZL,Yes,Yes,No,4.38337823,0.187627352
ZLN1,ZLN,Yes,Yes,Yes,0.95105804,0.056811875
ZLN2,ZLN,Yes,Yes,Yes,2.089839842,0.147112056
ZLN3,ZLN,Yes,Yes,Yes,6.612477996,0.573240594
ZLN4,ZLN,Yes,Yes,Yes,3.280988177,0.180530829
ZLN5,ZLN,Yes,Yes,Yes,0.372113322,0.021083188
ZLN6,ZLN,Yes,Yes,Yes,6.085660285,0.445016
ZLN7,ZLN,Yes,Yes,Yes,0.47417853,0.045949245
ZLN8,ZLN,Yes,Yes,Yes,0.089305308,0.002966937
ZLN9,ZLN,Yes,Yes,Yes,0.876478055,0.08804356
ZLN10,ZLN,Yes,Yes,Yes,1.981266993,0.166654983
ZLN11,ZLN,Yes,Yes,Yes,1.657375214,0.126920395
ZLN12,ZLN,Yes,Yes,Yes,1.178485692,0.077502599
