ID,Z,L,N,Frog (ppm),Soil (ppm),BCF
Z13,Yes,No,No,6.9676175,7.536388846,0.924529989
Z14,Yes,No,No,1.895246434,11.85351224,0.159889018
Z15,Yes,No,No,2.951272391,9.296771335,0.317451326
Z16,Yes,No,No,10.12529768,7.091785474,1.427750137
Z17,Yes,No,No,1.148059186,12.85872714,0.089282491
Z18,Yes,No,No,0.386969933,11.85351224,0.032646015
ZL13,Yes,Yes,No,1.301219969,6.030842861,0.215760881
ZL14,Yes,Yes,No,1.956966751,14.4633311,0.135305397
ZL15,Yes,Yes,No,5.620875127,5.463595695,1.028786799
ZL16,Yes,Yes,No,1.895610106,10.87031134,0.174384159
ZL17,Yes,Yes,No,1.07355267,6.625377867,0.162036444
ZL18,Yes,Yes,No,9.155779964,3.704790699,2.471335281
ZLN13,Yes,Yes,Yes,1.769087355,7.600116947,0.23277107
ZLN14,Yes,Yes,Yes,6.266085661,6.878636974,0.910948737
ZLN15,Yes,Yes,Yes,9.597340844,5.251226421,1.827637979
ZLN16,Yes,Yes,Yes,0.492605254,6.415673815,0.07678153
ZLN17,Yes,Yes,Yes,2.293874688,5.751892513,0.398803469
ZLN18,Yes,Yes,Yes,1.52009265,6.379509334,0.238277361
ZN13,Yes,No,Yes,0.699235064,7.100660364,0.098474653
ZN14,Yes,No,Yes,0.416047155,12.14903279,0.03424529
ZN15,Yes,No,Yes,1.214998761,12.22517282,0.099384997
ZN16,Yes,No,Yes,3.70393861,11.92515719,0.310598724
ZN17,Yes,No,Yes,1.08378731,19.26612219,0.056253526
ZN18,Yes,No,Yes,0.791994902,20.60541132,0.038436258
