Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac
Barking treefrog,HGOA1,Atrazine,LCMS,1,Overspray,2.30E-05,10.08186253,15.04703892,2.5,0.670023024,2.02028,2.5056,30,0.03,215.68,1.187,459908.6227,1.92500784,0.04,122,80,Arboreal
Barking treefrog,HGOA2,Atrazine,LCMS,1,Overspray,2.30E-05,6.133864568,15.04703892,2.5,0.407645956,1.69156,1.9493,30,0.03,215.68,1.187,270938.64,1.664571146,0.04,122,80,Arboreal
Barking treefrog,HGOA3,Atrazine,LCMS,1,Overspray,2.30E-05,7.947823598,15.04703892,2.5,0.528198514,2.07221,2.4317,30,0.03,215.68,1.187,378380.905,1.891927509,0.04,122,80,Arboreal
Barking treefrog,HGOA4,Atrazine,LCMS,1,Overspray,2.30E-05,15.16927588,15.04703892,2.5,1.008123655,2.36942,2.743,30,0.03,215.68,1.187,770128.634,2.028594985,0.04,122,80,Arboreal
Barking treefrog,HGOA5,Atrazine,LCMS,1,Overspray,2.30E-05,12.02851098,15.04703892,2.5,0.79939389,1.96104,2.2946,30,0.03,215.68,1.187,560451.5679,1.829413804,0.04,122,80,Arboreal
Barking treefrog,HGOA1,Deisopropyl Atrazine,LCMS,1,Overspray,NA,1.543769182,0.015060984,2.5,102.5012187,2.02028,2.5056,30,0.03,215.68,1.187,NA,1.92500784,0.04,122,80,Arboreal
Barking treefrog,HGOA2,Deisopropyl Atrazine,LCMS,1,Overspray,NA,1.821242824,0.015060984,2.5,120.92456,1.69156,1.9493,30,0.03,215.68,1.187,NA,1.664571146,0.04,122,80,Arboreal
Barking treefrog,HGOA3,Deisopropyl Atrazine,LCMS,1,Overspray,NA,1.190937601,0.015060984,2.5,79.07435711,2.07221,2.4317,30,0.03,215.68,1.187,NA,1.891927509,0.04,122,80,Arboreal
Barking treefrog,HGOA4,Deisopropyl Atrazine,LCMS,1,Overspray,NA,1.897880614,0.015060984,2.5,126.0130583,2.36942,2.743,30,0.03,215.68,1.187,NA,2.028594985,0.04,122,80,Arboreal
Barking treefrog,HGOA5,Deisopropyl Atrazine,LCMS,1,Overspray,NA,1.308424429,0.015060984,2.5,86.87509777,1.96104,2.2946,30,0.03,215.68,1.187,NA,1.829413804,0.04,122,80,Arboreal
Barking treefrog,HGOA1,Desethyl Atrazine,LCMS,1,Overspray,NA,0.662537491,0.042809913,2.5,15.47626326,2.02028,2.5056,30,0.03,215.68,1.187,NA,1.92500784,0.04,122,80,Arboreal
Barking treefrog,HGOA2,Desethyl Atrazine,LCMS,1,Overspray,NA,0.96124623,0.042809913,2.5,22.45382324,1.69156,1.9493,30,0.03,215.68,1.187,NA,1.664571146,0.04,122,80,Arboreal
Barking treefrog,HGOA3,Desethyl Atrazine,LCMS,1,Overspray,NA,0.563817506,0.042809913,2.5,13.17025568,2.07221,2.4317,30,0.03,215.68,1.187,NA,1.891927509,0.04,122,80,Arboreal
