"","Chemical","Species","vals"
"1","Atrazine","Barking treefrog","0.241, 0.403, 0.291"
"2","Atrazine","Fowlers toad","0.314, 0.532, 0.415"
"3","Atrazine","Gray treefrog","0.322, 0.51, 0.39"
"4","Atrazine","Green treefrog","0.096, 0.197, 0.134"
"5","Atrazine","Leopard frog","0.13, 0.214, 0.177"
"6","Atrazine","Mole salamander","0.032, 0.13, 0.081"
"7","Deisopropyl Atrazine","Barking treefrog","94.452, 106.558, 101.43"
"8","Deisopropyl Atrazine","Fowlers toad","69.547, 396.846, 240.913"
"9","Deisopropyl Atrazine","Gray treefrog","50.394, 203.891, 123.759"
"10","Deisopropyl Atrazine","Green treefrog","52.586, 93.414, 68.127"
"11","Deisopropyl Atrazine","Leopard frog","21.179, 72.241, 47.575"
"12","Desethyl Atrazine","Barking treefrog","9.836, 19.572, 16.337"
"13","Desethyl Atrazine","Fowlers toad","19.881, 58.542, 37.53"
"14","Desethyl Atrazine","Gray treefrog","41.405, 53.295, 46.145"
"15","Desethyl Atrazine","Green treefrog","9.278, 17.032, 11.839"
"16","Desethyl Atrazine","Leopard frog","8.833, 14.057, 12.16"
"17","Fipronil","Barking treefrog","0.049, 0.148, 0.09"
"18","Fipronil","Fowlers toad","0.047, 0.275, 0.207"
"19","Fipronil","Gray treefrog","0.023, 0.068, 0.051"
"20","Fipronil","Green treefrog","0.019, 0.108, 0.049"
"21","Fipronil","Leopard frog","0.121, 0.192, 0.151"
"22","Fipronil","Mole salamander","0.103, 0.246, 0.161"
"23","Fipronil-Sulfone","Barking treefrog","5.76, 19.322, 11.154"
"24","Fipronil-Sulfone","Fowlers toad","6.935, 28.879, 13.643"
"25","Fipronil-Sulfone","Gray treefrog","1.276, 16.768, 7.105"
"26","Fipronil-Sulfone","Green treefrog","0.208, 4.646, 2.122"
"27","Fipronil-Sulfone","Leopard frog","0.098, 0.402, 0.278"
"28","Imidacloprid","Barking treefrog","0.082, 0.242, 0.153"
"29","Imidacloprid","Cricket frog","0.122, 0.21, 0.162"
"30","Imidacloprid","Gray treefrog","0.046, 0.097, 0.065"
"31","Imidacloprid","Green treefrog","0.051, 0.079, 0.066"
"32","Imidacloprid","Narrowmouth toad","0.106, 0.242, 0.17"
"33","Pendimethalin","Barking treefrog","0.006, 0.03, 0.014"
"34","Pendimethalin","Fowlers toad","0.019, 0.197, 0.078"
"35","Pendimethalin","Gray treefrog","0.002, 0.007, 0.005"
"36","Pendimethalin","Green treefrog","0.007, 0.023, 0.013"
"37","Pendimethalin","Leopard frog","0.005, 0.03, 0.017"
"38","Pendimethalin","Mole salamander","0.04, 0.148, 0.087"
"39","Total Atrazine","Barking treefrog","0.35, 0.546, 0.423"
"40","Total Atrazine","Fowlers toad","0.495, 0.854, 0.614"
"41","Total Atrazine","Gray treefrog","0.409, 0.627, 0.506"
"42","Total Atrazine","Green treefrog","0.163, 0.307, 0.213"
"43","Total Atrazine","Leopard frog","0.16, 0.283, 0.228"
"44","Total Atrazine","Mole salamander","0.032, 0.13, 0.081"
"45","Total Fipronil","Barking treefrog","0.12, 0.387, 0.228"
"46","Total Fipronil","Fowlers toad","0.156, 0.615, 0.366"
"47","Total Fipronil","Gray treefrog","0.044, 0.271, 0.139"
"48","Total Fipronil","Green treefrog","0.022, 0.152, 0.076"
"49","Total Fipronil","Leopard frog","0.12, 0.193, 0.155"
"50","Total Fipronil","Mole salamander","0.103, 0.246, 0.161"
"51","Total Triadimefon","Barking treefrog","0.024, 0.046, 0.036"
"52","Total Triadimefon","Cricket frog","0.136, 0.206, 0.167"
"53","Total Triadimefon","Fowlers toad","0.025, 0.058, 0.042"
"54","Total Triadimefon","Gray treefrog","0.077, 0.145, 0.104"
"55","Total Triadimefon","Green treefrog","0.029, 0.106, 0.071"
"56","Total Triadimefon","Leopard frog","0.008, 0.027, 0.018"
"57","Total Triadimefon","Mole salamander","0.039, 0.182, 0.088"
"58","Total Triadimefon","Narrowmouth toad","0.051, 0.077, 0.067"
"59","Triadimefon","Barking treefrog","0.018, 0.04, 0.025"
"60","Triadimefon","Cricket frog","0.099, 0.181, 0.14"
"61","Triadimefon","Fowlers toad","0.008, 0.021, 0.012"
"62","Triadimefon","Gray treefrog","0.019, 0.057, 0.039"
"63","Triadimefon","Green treefrog","0.017, 0.061, 0.045"
"64","Triadimefon","Leopard frog","0.005, 0.024, 0.015"
"65","Triadimefon","Mole salamander","0.009, 0.067, 0.03"
"66","Triadimefon","Narrowmouth toad","0.038, 0.065, 0.053"
"67","Triadimenol","Barking treefrog","0.216, 0.807, 0.383"
"68","Triadimenol","Cricket frog","0.862, 1.43, 1.089"
"69","Triadimenol","Fowlers toad","0.629, 1.838, 1.262"
"70","Triadimenol","Gray treefrog","0.693, 2.455, 1.513"
"71","Triadimenol","Green treefrog","0.318, 1.208, 0.718"
"72","Triadimenol","Leopard frog","0.096, 0.147, 0.113"
"73","Triadimenol","Mole salamander","0.868, 3.44, 1.711"
"74","Triadimenol","Narrowmouth toad","0.479, 0.637, 0.539"
