Group,ATZ,D,ME,AppRate,Weight,SA,Media,Pesticide,Conc
D,-1,1,-1,14.3,2.541,1.940708491,Amphib,DT,0.039291826
D,-1,1,-1,14.3,1.9682,1.673896833,Amphib,DT,0.009126477
D,-1,1,-1,14.3,2.6828,2.002696917,Amphib,DT,0.141821902
D,-1,1,-1,14.3,1.6688,1.521369444,Amphib,DT,0.160589466
D,-1,1,-1,14.3,2.0942,1.735130392,Amphib,DT,0.0364
D,-1,1,-1,14.3,1.7835,1.581065047,Amphib,DT,0.055846327
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Amphib,DT,0
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Amphib,DT,0
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Amphib,DT,0
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Amphib,DT,0
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Amphib,DT,0
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Amphib,DT,0
ME,-1,-1,1,30.9,1.1019,1.196362878,Amphib,DT,0
ME,-1,-1,1,30.9,2.9835,2.129751748,Amphib,DT,0
ME,-1,-1,1,30.9,1.2984,1.315606863,Amphib,DT,0
ME,-1,-1,1,30.9,2.6159,1.973627754,Amphib,DT,0
ME,-1,-1,1,30.9,2.4927,1.919263229,Amphib,DT,0
ME,-1,-1,1,30.9,1.2846,1.307492569,Amphib,DT,0
ATZD,1,1,-1,37.9,3.5987,2.37394653,Amphib,DT,0
ATZD,1,1,-1,37.9,2.8407,2.070121781,Amphib,DT,0.275763099
ATZD,1,1,-1,37.9,2.2087,1.789442601,Amphib,DT,0.135238827
ATZD,1,1,-1,37.9,1.6348,1.503344888,Amphib,DT,0.043914438
ATZD,1,1,-1,37.9,1.686,1.530428829,Amphib,DT,0.111429034
ATZD,1,1,-1,37.9,2.0948,1.73541821,Amphib,DT,0.156297393
ATZME,1,-1,1,54.5,2.0979,1.736904716,Amphib,DT,0
ATZME,1,-1,1,54.5,1.8523,1.616097145,Amphib,DT,0
ATZME,1,-1,1,54.5,1.8649,1.622453161,Amphib,DT,0
