Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA
ATZ,1,-1,-1,ATZT,Amphib,71.52121587,1.7134,1.789268512
ATZ,1,-1,-1,ATZT,Amphib,25.08110461,2.5341,2.244322411
ATZ,1,-1,-1,ATZT,Amphib,19.38292403,2.0332,1.975638925
ATZ,1,-1,-1,ATZT,Amphib,25.87712484,3.6843,2.787345682
ATZ,1,-1,-1,ATZT,Amphib,6.776429551,2.1559,2.043818201
ATZ,1,-1,-1,ATZT,Amphib,42.67128214,2.1582,2.045080384
MA,-1,1,-1,MAT,Amphib,2.335542663,2.897,2.425154851
MA,-1,1,-1,MAT,Amphib,0.401201109,2.0002,1.957008931
MA,-1,1,-1,MAT,Amphib,0.653088188,2.0931,2.009133027
MA,-1,1,-1,MAT,Amphib,0.255474657,2.4281,2.189478269
MA,-1,1,-1,MAT,Amphib,0.284731883,1.8155,1.850248779
MA,-1,1,-1,MAT,Amphib,0.14012427,2.2664,2.103832524
PZ,-1,-1,1,PROPT,Amphib,0.000537811,3.9973,2.922094388
PZ,-1,-1,1,PROPT,Amphib,0.380895431,2.8816,2.417682157
PZ,-1,-1,1,PROPT,Amphib,0.375235724,1.998,1.955762348
PZ,-1,-1,1,PROPT,Amphib,0.247443503,1.9545,1.93099412
PZ,-1,-1,1,PROPT,Amphib,0.285562211,1.1879,1.447334277
PZ,-1,-1,1,PROPT,Amphib,0.139716725,2.3395,2.142858733
ATZMA,1,1,-1,ATZT,Amphib,4.105411726,1.766,1.820869873
ATZMA,1,1,-1,ATZT,Amphib,18.0828639,2.2464,2.093063099
ATZMA,1,1,-1,ATZT,Amphib,27.68256624,2.0137,1.964645815
ATZMA,1,1,-1,ATZT,Amphib,19.04559785,1.8167,1.850956779
ATZMA,1,1,-1,ATZT,Amphib,13.29249991,1.2746,1.507588417
ATZMA,1,1,-1,ATZT,Amphib,7.289789952,1.9827,1.947076892
ATZMA,1,1,-1,MAT,Amphib,0.300451872,1.766,1.820869873
ATZMA,1,1,-1,MAT,Amphib,2.008416532,2.2464,2.093063099
ATZMA,1,1,-1,MAT,Amphib,6.064364174,2.0137,1.964645815
ATZMA,1,1,-1,MAT,Amphib,0.890422935,1.8167,1.850956779
ATZMA,1,1,-1,MAT,Amphib,1.104790883,1.2746,1.507588417
ATZMA,1,1,-1,MAT,Amphib,0.188357852,1.9827,1.947076892
ATZPZ,1,-1,1,ATZT,Amphib,13.26923261,3.5113,2.710798464
ATZPZ,1,-1,1,ATZT,Amphib,6.459787124,3.0233,2.485821477
ATZPZ,1,-1,1,ATZT,Amphib,20.27148844,2.8777,2.415787056
ATZPZ,1,-1,1,ATZT,Amphib,5.347041009,3.4314,2.674910192
ATZPZ,1,-1,1,ATZT,Amphib,6.616713054,1.6593,1.756336878
ATZPZ,1,-1,1,ATZT,Amphib,3.641157326,2.2353,2.087068649
ATZPZ,1,-1,1,PROPT,Amphib,1.481646981,3.5113,2.710798464
ATZPZ,1,-1,1,PROPT,Amphib,0.314333427,3.0233,2.485821477
ATZPZ,1,-1,1,PROPT,Amphib,1.438248563,2.8777,2.415787056
