"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"1",26,5.58e-06,"Overspray",1.73625,"Imidacloprid",8,0,0.47984644,"PLE","Barking treefrog",1.015287169,142.511403511786,140.365610699239,23.2173859637099,22.8678020097287,10.0057590090901
"2",27,5.58e-06,"Overspray",2.61111,"Imidacloprid",8,0,0.47984644,"PLE","Barking treefrog",1.636083216,119.041591439379,72.760107967136,20.2675578974337,12.3878527077523,8.42642585602909
"3",28,5.58e-06,"Overspray",1.82332,"Imidacloprid",8,0,0.47984644,"PLE","Barking treefrog",0.926100389,139.469128226451,150.598282738062,22.8421436803403,24.6648678174136,9.80174772164716
"4",29,5.58e-06,"Overspray",2.91551,"Imidacloprid",8,0,0.47984644,"PLE","Barking treefrog",0.718277624,113.391242256281,157.865480515486,19.5368374450051,27.1995629436524,8.04418370723515
"5",30,5.58e-06,"Overspray",2.49115,"Imidacloprid",8,0,0.47984644,"PLE","Barking treefrog",1.08903614,121.536374479021,111.599946057824,20.5874730521772,18.9043065661505,8.59493211074514
"6",31,2e-05,"Overspray",2.09766,"Pendimethalin",8,0,12.11934838,"PLE","Barking treefrog",2.138795205,469.925749070509,219.715168601432,78.137985935785,36.5336455557394,33.1186114877953
"7",32,2e-05,"Overspray",2.41178,"Pendimethalin",8,0,12.11934838,"PLE","Barking treefrog",2.01901591,441.879138907745,218.858671058092,74.5901618365011,36.9438207331913,31.2290252635291
"8",33,2e-05,"Overspray",1.72083,"Pendimethalin",8,0,12.11934838,"PLE","Barking treefrog",2.28849235,512.807036635807,224.080730108539,83.4640119250222,36.471178033443,35.997878884147
"9",34,2e-05,"Overspray",2.70413,"Pendimethalin",8,0,12.11934838,"PLE","Barking treefrog",2.767161376,420.136355018237,151.829365161765,71.8017154681883,25.9477875381375,29.7604155355571
"10",35,2e-05,"Overspray",2.23741,"Pendimethalin",8,0,12.11934838,"PLE","Barking treefrog",1.232549848,456.747965515083,370.571596967235,76.4776832975124,62.0483491370423,32.2314400291878
"11",36,2.3e-05,"Overspray",2.02028,"Total Atrazine",8,0,15.10490982,"PLE","Barking treefrog",12.2881692,549.446941790318,44.7134909071986,90.9904450765848,7.40471941715979,38.693869975623
"12",37,2.3e-05,"Overspray",1.69156,"Total Atrazine",8,0,15.10490982,"PLE","Barking treefrog",8.916353622,594.206658341997,66.6423387331639,96.5335180550287,10.826569037913,41.6976364277003
"13",38,2.3e-05,"Overspray",2.07221,"Total Atrazine",8,0,15.10490982,"PLE","Barking treefrog",9.702578705,543.33160720252,55.9986807344863,90.2246895832536,9.29904227798311,38.2826348919887
"14",39,2.3e-05,"Overspray",2.36942,"Total Atrazine",8,0,15.10490982,"PLE","Barking treefrog",17.83079959,512.147569903363,28.7226362069926,86.2863379666418,4.83917378640908,36.1822969487746
"15",40,2.3e-05,"Overspray",1.96104,"Total Atrazine",8,0,15.10490982,"PLE","Barking treefrog",14.21727551,556.705785874608,39.1569949870521,91.896686365908,6.46373394827094,39.1817329447148
"16",41,1.11e-06,"Overspray",2.73317,"Total Fipronil",8,0,3.492483429,"PLE","Barking treefrog",2.400285765,23.2079838010987,9.66884199352769,3.9708455062421,1.65432198288361,1.64429191652663
