"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"2",2.8889e-07,"soil",1.313,"BIF",8,0,"Bif LF S 1 F",0.33888,"OLS","dag_dermal_routes","Leopard frog",0.108558
"6",2.8889e-07,"soil",2.2547,"BIF",8,0,"Bif LF S 2 F",0.385833,"OLS","dag_dermal_routes","Leopard frog",0.094022
"10",2.8889e-07,"soil",1.3741,"BIF",8,0,"Bif LF S 3 F",0.354759,"OLS","dag_dermal_routes","Leopard frog",0.114565
"14",2.8889e-07,"soil",2.37,"BIF",8,0,"Bif LF S 4 F",0.328681,"OLS","dag_dermal_routes","Leopard frog",0.0745
"18",2.8889e-07,"soil",1.915,"BIF",8,0,"Bif LF S 5 F",0.286841,"OLS","dag_dermal_routes","Leopard frog",0.095261
"21",2.8889e-07,"soil",2.2342,"BIF",8,0,"Bif LF S 6 F",0.317522,"OLS","dag_dermal_routes","Leopard frog",0.073592
"26",2.8889e-07,"soil",2.0466,"BIF",8,0,"Bif LF S 7 F",0.248066,"OLS","dag_dermal_routes","Leopard frog",0.082735
"30",2.8889e-07,"soil",1.4359,"BIF",8,0,"Bif LF S 8 F",0.354871,"OLS","dag_dermal_routes","Leopard frog",0.217679
"66",3.1111e-07,"soil",1.92467,"CPF",8,0,"CPF LF S 1 F",0.279786,"OLS","dag_dermal_routes","Leopard frog",0.930317
"70",3.1111e-07,"soil",2.35063,"CPF",8,0,"CPF LF S 2 F",0.219906,"OLS","dag_dermal_routes","Leopard frog",1.019965
"74",3.1111e-07,"soil",1.74634,"CPF",8,0,"CPF LF S 3 F",0.28037,"OLS","dag_dermal_routes","Leopard frog",0.346872
"77",3.1111e-07,"soil",1.21391,"CPF",8,0,"CPF LF S 4 F",0.281528,"OLS","dag_dermal_routes","Leopard frog",0.276119
"81",3.1111e-07,"soil",1.61425,"CPF",8,0,"CPF LF S 5 F",0.14071,"OLS","dag_dermal_routes","Leopard frog",0.538425
"85",3.1111e-07,"soil",1.10899,"CPF",8,0,"CPF LF S 6 F",0.246053,"OLS","dag_dermal_routes","Leopard frog",0.642246
"90",3.1111e-07,"soil",2.06684,"CPF",8,0,"CPF LF S 7 F",0.224683,"OLS","dag_dermal_routes","Leopard frog",0.881697
"94",3.1111e-07,"soil",2.81971,"CPF",8,0,"CPF LF S 8 F",0.309254,"OLS","dag_dermal_routes","Leopard frog",1.005704
"129",3.0222e-07,"soil",2.43309,"TFS",8,0,"TFS LF S 1 F",0.343198,"OLS","dag_dermal_routes","Leopard frog",0.089418
"133",3.0222e-07,"soil",1.82782,"TFS",8,0,"TFS LF S 2 F",0.367461,"OLS","dag_dermal_routes","Leopard frog",0.065756
"137",3.0222e-07,"soil",1.15759,"TFS",8,0,"TFS LF S 3 F",0.251442,"OLS","dag_dermal_routes","Leopard frog",0.111039
"141",3.0222e-07,"soil",1.61034,"TFS",8,0,"TFS LF S 4 F",0.312696,"OLS","dag_dermal_routes","Leopard frog",0.08372
"145",3.0222e-07,"soil",2.02866,"TFS",8,0,"TFS LF S 5 F",0.143468,"OLS","dag_dermal_routes","Leopard frog",0.129535
"149",3.0222e-07,"soil",1.56956,"TFS",8,0,"TFS LF S 6 F",0.1125,"OLS","dag_dermal_routes","Leopard frog",0.163043
"154",3.0222e-07,"soil",2.13002,"TFS",8,0,"TFS LF S 7 F",0.266023,"OLS","dag_dermal_routes","Leopard frog",0.194161
"157",3.0222e-07,"soil",1.80722,"TFS",8,0,"TFS LF S 8 F",0.279262,"OLS","dag_dermal_routes","Leopard frog",0.099954
