"","app_rate_g_cm2","application","body_weight_g","exp_duration","formulation","group","pesticide","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"1",0.6209,"soil",2.39935,8,0,"bif","bif","BIF 10 1",0.803046328,NA,"dag_biomarker","Leopard frog",0.081060634
"2",0.6209,"soil",3.20152,8,0,"bif","bif","BIF 10 2",1.793844153,NA,"dag_biomarker","Leopard frog",0.19270545
"3",0.6209,"soil",2.40548,8,0,"bif","bif","BIF 10 3",1.359242989,NA,"dag_biomarker","Leopard frog",0.049910621
"4",0.6209,"soil",3.6387,8,0,"bif","bif","BIF 10 4",0.662496327,NA,"dag_biomarker","Leopard frog",0.100211894
"5",0.6209,"soil",2.90056,8,0,"bif","bif","BIF 10 5",1.296592999,NA,"dag_biomarker","Leopard frog",0.046218882
"6",0.6209,"soil",6.34508,8,0,"bif","bif","BIF 10 6",0.986503052,NA,"dag_biomarker","Leopard frog",0.092611871
"7",0.6209,"soil",3.80297,8,0,"bif","bif","BIF 10 7",1.048073516,NA,"dag_biomarker","Leopard frog",0.078083256
"8",0.6209,"soil",3.75487,8,0,"bif","bif","BIF 10 8",0.996942773,NA,"dag_biomarker","Leopard frog",0.064304246
"9",6.209,"soil",3.60502,8,0,"bif","bif","BIF MAX 1",3.239931871,NA,"dag_biomarker","Leopard frog",0.36026833
"10",6.209,"soil",3.30725,8,0,"bif","bif","BIF MAX 2",1.097338337,NA,"dag_biomarker","Leopard frog",0.407255463
"11",6.209,"soil",2.89452,8,0,"bif","bif","BIF MAX 3",2.06668524,NA,"dag_biomarker","Leopard frog",0.212162205
"12",6.209,"soil",2.97219,8,0,"bif","bif","BIF MAX 4",1.656011279,NA,"dag_biomarker","Leopard frog",0.286703293
"13",6.209,"soil",3.55775,8,0,"bif","bif","BIF MAX 5",3.154084485,NA,"dag_biomarker","Leopard frog",0.482244063
"14",6.209,"soil",2.5769,8,0,"bif","bif","BIF MAX 6",2.277478005,NA,"dag_biomarker","Leopard frog",0.255883703
"15",6.209,"soil",2.21972,8,0,"bif","bif","BIF MAX 7",2.275944569,NA,"dag_biomarker","Leopard frog",0.60898339
"16",6.209,"soil",2.96399,8,0,"bif","bif","BIF MAX 8",2.056335345,NA,"dag_biomarker","Leopard frog",0.321041436
"17",0.6209,"soil",4.12784,8,0,"bifmet","bif","MB 10 1",0.570895752,NA,"dag_biomarker","Leopard frog",0.013397563
"18",0.6209,"soil",6.73861,8,0,"bifmet","bif","MB 10 2",0.436696072,NA,"dag_biomarker","Leopard frog",0.011975429
"19",0.6209,"soil",2.49055,8,0,"bifmet","bif","MB 10 3",0.237632984,NA,"dag_biomarker","Leopard frog",0.069767144
"20",0.6209,"soil",3.56468,8,0,"bifmet","bif","MB 10 4",0.268943149,NA,"dag_biomarker","Leopard frog",0.050779401
"21",0.6209,"soil",3.52853,8,0,"bifmet","bif","MB 10 5",0.387004018,NA,"dag_biomarker","Leopard frog",0.030067637
"22",0.6209,"soil",2.63626,8,0,"bifmet","bif","MB 10 6",0.417565021,NA,"dag_biomarker","Leopard frog",0.018037382
"23",0.6209,"soil",4.50144,8,0,"bifmet","bif","MB 10 7",0.29181208,NA,"dag_biomarker","Leopard frog",0.059879811
"24",0.6209,"soil",3.68372,8,0,"bifmet","bif","MB 10 8",0.232199001,NA,"dag_biomarker","Leopard frog",0.058723246
"25",6.209,"soil",3.0214,8,0,"bifmet","bif","MB MAX 1",3.805763671,NA,"dag_biomarker","Leopard frog",0.463968335
