app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
5.58E-06,overspray,1.73625,imidacloprid,8,0,HGOI1,0.47984644,PLE,rvm2015,Barking treefrog,1.015287169
5.58E-06,overspray,2.61111,imidacloprid,8,0,HGOI2,0.47984644,PLE,rvm2015,Barking treefrog,1.636083216
5.58E-06,overspray,1.82332,imidacloprid,8,0,HGOI3,0.47984644,PLE,rvm2015,Barking treefrog,0.926100389
5.58E-06,overspray,2.91551,imidacloprid,8,0,HGOI4,0.47984644,PLE,rvm2015,Barking treefrog,0.718277624
5.58E-06,overspray,2.49115,imidacloprid,8,0,HGOI5,0.47984644,PLE,rvm2015,Barking treefrog,1.08903614
2.00E-05,overspray,2.09766,pendimethalin,8,0,HGOP1,12.11934838,PLE,rvm2015,Barking treefrog,2.138795205
2.00E-05,overspray,2.41178,pendimethalin,8,0,HGOP2,12.11934838,PLE,rvm2015,Barking treefrog,2.01901591
2.00E-05,overspray,1.72083,pendimethalin,8,0,HGOP3,12.11934838,PLE,rvm2015,Barking treefrog,2.28849235
2.00E-05,overspray,2.70413,pendimethalin,8,0,HGOP4,12.11934838,PLE,rvm2015,Barking treefrog,2.767161376
2.00E-05,overspray,2.23741,pendimethalin,8,0,HGOP5,12.11934838,PLE,rvm2015,Barking treefrog,1.232549848
2.30E-05,overspray,2.02028,atrazine,8,0,HGOA1,15.10490982,PLE,rvm2015,Barking treefrog,12.2881692
2.30E-05,overspray,1.69156,atrazine,8,0,HGOA2,15.10490982,PLE,rvm2015,Barking treefrog,8.916353622
2.30E-05,overspray,2.07221,atrazine,8,0,HGOA3,15.10490982,PLE,rvm2015,Barking treefrog,9.702578705
2.30E-05,overspray,2.36942,atrazine,8,0,HGOA4,15.10490982,PLE,rvm2015,Barking treefrog,17.83079959
2.30E-05,overspray,1.96104,atrazine,8,0,HGOA5,15.10490982,PLE,rvm2015,Barking treefrog,14.21727551
1.11E-06,overspray,2.73317,fipronil,8,0,HGOF1,3.492483429,PLE,rvm2015,Barking treefrog,2.400285765
1.11E-06,overspray,2.02542,fipronil,8,0,HGOF2,3.492483429,PLE,rvm2015,Barking treefrog,1.658107241
1.11E-06,overspray,2.12849,fipronil,8,0,HGOF3,3.492483429,PLE,rvm2015,Barking treefrog,1.662784049
1.11E-06,overspray,1.73265,fipronil,8,0,HGOF4,3.492483429,PLE,rvm2015,Barking treefrog,2.07396123
1.11E-06,overspray,1.52771,fipronil,8,0,HGOF5,3.492483429,PLE,rvm2015,Barking treefrog,1.915890199
2.85E-06,overspray,1.72511,triadimefon,8,0,HGOT1,8.451291713,PLE,rvm2015,Barking treefrog,0.636157453
2.85E-06,overspray,1.94887,triadimefon,8,0,HGOT2,8.451291713,PLE,rvm2015,Barking treefrog,0.972799964
2.85E-06,overspray,1.55295,triadimefon,8,0,HGOT3,8.451291713,PLE,rvm2015,Barking treefrog,0.397699131
2.85E-06,overspray,2.37346,triadimefon,8,0,HGOT4,8.451291713,PLE,rvm2015,Barking treefrog,0.642604155
2.85E-06,overspray,1.57685,triadimefon,8,0,HGOT5,8.451291713,PLE,rvm2015,Barking treefrog,0.48091159
5.69E-06,soil,1.95576,imidacloprid,8,0,HGI1,2.565991685,PLE,rvm2015,Barking treefrog,0.329814712
5.69E-06,soil,2.26328,imidacloprid,8,0,HGI2,2.565991685,PLE,rvm2015,Barking treefrog,0.210770534
5.69E-06,soil,1.27439,imidacloprid,8,0,HGI3,2.565991685,PLE,rvm2015,Barking treefrog,0.50673308
5.69E-06,soil,1.89439,imidacloprid,8,0,HGI4,2.565991685,PLE,rvm2015,Barking treefrog,0.292676446
5.69E-06,soil,1.4839,imidacloprid,8,0,HGI5,2.565991685,PLE,rvm2015,Barking treefrog,0.622028925
1.98E-05,soil,2.44812,pendimethalin,8,0,HGP1,13.61565316,PLE,rvm2015,Barking treefrog,0.409017886
1.98E-05,soil,2.46997,pendimethalin,8,0,HGP2,13.61565316,PLE,rvm2015,Barking treefrog,0.257508419
1.98E-05,soil,2.01387,pendimethalin,8,0,HGP3,13.61565316,PLE,rvm2015,Barking treefrog,0.094968352
1.98E-05,soil,2.29373,pendimethalin,8,0,HGP4,13.61565316,PLE,rvm2015,Barking treefrog,0.08250324
1.98E-05,soil,2.2234,pendimethalin,8,0,HGP5,13.61565316,PLE,rvm2015,Barking treefrog,0.099338888
2.30E-05,soil,2.069224088,atrazine,8,0,HGA1,14.43612837,PLE,rvm2015,Barking treefrog,7.876952404
2.30E-05,soil,1.2818,atrazine,8,0,HGA2,14.43612837,PLE,rvm2015,Barking treefrog,6.342816533
2.30E-05,soil,1.91549,atrazine,8,0,HGA3,14.43612837,PLE,rvm2015,Barking treefrog,5.059544246
2.30E-05,soil,1.66783,atrazine,8,0,HGA4,14.43612837,PLE,rvm2015,Barking treefrog,5.640191973
2.30E-05,soil,2.6954,atrazine,8,0,HGA5,14.43612837,PLE,rvm2015,Barking treefrog,5.631964095
1.12E-06,soil,1.62588,fipronil,8,0,HGF1,2.495701956,PLE,rvm2015,Barking treefrog,0.656150683
1.12E-06,soil,1.22989,fipronil,8,0,HGF2,2.495701956,PLE,rvm2015,Barking treefrog,0.966721159
1.12E-06,soil,2.00445,fipronil,8,0,HGF3,2.495701956,PLE,rvm2015,Barking treefrog,0.464139949
1.12E-06,soil,1.99483,fipronil,8,0,HGF4,2.495701956,PLE,rvm2015,Barking treefrog,0.461519982
1.12E-06,soil,1.56533,fipronil,8,0,HGF5,2.495701956,PLE,rvm2015,Barking treefrog,0.2997831
2.79E-06,soil,1.30797,triadimefon,8,0,HGT1,5.94731458,PLE,rvm2015,Barking treefrog,0.268608762
2.79E-06,soil,1.082,triadimefon,8,0,HGT2,5.94731458,PLE,rvm2015,Barking treefrog,0.216919024
2.79E-06,soil,2.56323,triadimefon,8,0,HGT3,5.94731458,PLE,rvm2015,Barking treefrog,0.143700399
2.79E-06,soil,1.61382,triadimefon,8,0,HGT4,5.94731458,PLE,rvm2015,Barking treefrog,0.274522017
