"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","SoilType","species","tissue_conc_ugg"
"1",2.29e-05,"Indirect",13.1831,"ATZTOT",8,0,22.87721442,"PLE","American toad",0.337135483
"2",2.29e-05,"Indirect",15.8694,"ATZTOT",8,0,39.57404439,"PLE","American toad",1.227227091
"3",2.29e-05,"Indirect",8.3884,"ATZTOT",8,0,19.10798205,"PLE","American toad",0.700940082
"4",2.29e-05,"Indirect",14.5384,"ATZTOT",8,0,16.62668626,"PLE","American toad",0.367019464
"5",2.29e-05,"Indirect",16.4296,"ATZTOT",8,0,28.51661365,"PLE","American toad",0.35231843
"6",2.29e-05,"Indirect",16.59,"ATZTOT",8,0,33.99919952,"PLE","American toad",0.818657056
"7",2.29e-05,"Indirect",9.5568,"ATZTOT",8,0,29.78251321,"OLS","American toad",0.565666776
"8",2.29e-05,"Indirect",12.3541,"ATZTOT",8,0,17.87349815,"OLS","American toad",2.185564918
"9",2.29e-05,"Indirect",11.1447,"ATZTOT",8,0,16.59253376,"OLS","American toad",1.460641759
"10",2.29e-05,"Indirect",11.9615,"ATZTOT",8,0,12.29392621,"OLS","American toad",0.521202693
"11",2.29e-05,"Indirect",17.3882,"ATZTOT",8,0,21.6577354,"OLS","American toad",0.525601376
"12",2.29e-05,"Indirect",11.7687,"ATZTOT",8,0,29.25664048,"OLS","American toad",6.443801458
"13",2.29e-05,"Indirect",10.5239,"ATZTOT",8,1,23.57654351,"PLE","American toad",0.867924815
"14",2.29e-05,"Indirect",14.6051,"ATZTOT",8,1,23.85857164,"PLE","American toad",0.560925254
"15",2.29e-05,"Indirect",16.9753,"ATZTOT",8,1,21.82224207,"PLE","American toad",0.572604017
"16",2.29e-05,"Indirect",12.6029,"ATZTOT",8,1,22.10602964,"PLE","American toad",0.357537561
"17",2.29e-05,"Indirect",11.4693,"ATZTOT",8,1,18.47118347,"PLE","American toad",0.525853638
"18",2.29e-05,"Indirect",11.7396,"ATZTOT",8,1,8.640551756,"PLE","American toad",1.29826811
"19",2.29e-05,"Indirect",11.0822,"ATZTOT",8,1,14.25437079,"OLS","American toad",1.138952601
"20",2.29e-05,"Indirect",10.069,"ATZTOT",8,1,19.5060604,"OLS","American toad",2.05354599
"21",2.29e-05,"Indirect",11.0174,"ATZTOT",8,1,18.1116732,"OLS","American toad",0.463586698
"22",2.29e-05,"Indirect",12.3638,"ATZTOT",8,1,18.50933254,"OLS","American toad",0.398005502
"23",2.29e-05,"Indirect",10.1878,"ATZTOT",8,1,7.936778913,"OLS","American toad",0.428099849
"24",2.29e-05,"Indirect",11.5272,"ATZTOT",8,1,16.94936678,"OLS","American toad",0.478180697
"97",NA,"Indirect",13.986,"Imid",8,0,0.970934893,"PLE","American toad",0.018120187
"98",NA,"Indirect",18.1095,"Imid",8,0,1.646094454,"PLE","American toad",0.050150934
"99",NA,"Indirect",8,"Imid",8,0,1.347997271,"PLE","American toad",0.062813074
"100",NA,"Indirect",13.1817,"Imid",8,0,0.205311904,"PLE","American toad",0.015920471
"101",NA,"Indirect",12.9241,"Imid",8,0,2.997491181,"PLE","American toad",0.074721574
"102",NA,"Indirect",13.0377,"Imid",8,0,0.785382305,"PLE","American toad",0.019896995
"103",NA,"Indirect",10.7167,"Imid",8,0,1.293386968,"OLS","American toad",0.022283481
"104",NA,"Indirect",13.3005,"Imid",8,0,0.727272814,"OLS","American toad",0.06442277
"105",NA,"Indirect",9.7913,"Imid",8,0,1.123159241,"OLS","American toad",0.018261231
"106",NA,"Indirect",6.9639,"Imid",8,0,1.0194954,"OLS","American toad",0.025467962
"107",NA,"Indirect",12.9804,"Imid",8,0,1.035391151,"OLS","American toad",0.019752402
"108",NA,"Indirect",14.0828,"Imid",8,0,0.478487305,"OLS","American toad",0.061677525
"109",1.1e-06,"Indirect",10.7426,"FipTOT",8,0,1.725175021,"PLE","American toad",0.0321181
"110",1.1e-06,"Indirect",10.8321,"FipTOT",8,0,1.34295,"PLE","American toad",0.16419294
"111",1.1e-06,"Indirect",23.3405,"FipTOT",8,0,2.117466169,"PLE","American toad",0.113813046
"112",1.1e-06,"Indirect",11.3478,"FipTOT",8,0,2.339183226,"PLE","American toad",0.055741733
"113",1.1e-06,"Indirect",11.2404,"FipTOT",8,0,1.530006724,"PLE","American toad",0.129413289
"114",1.1e-06,"Indirect",7.3804,"FipTOT",8,0,1.636974629,"PLE","American toad",0.035164703
"115",1.1e-06,"Indirect",8.5539,"FipTOT",8,0,0.717592235,"OLS","American toad",0.16426118
"116",1.1e-06,"Indirect",12.178,"FipTOT",8,0,1.047219343,"OLS","American toad",0.021762222
"117",1.1e-06,"Indirect",11.465,"FipTOT",8,0,1.281327696,"OLS","American toad",0.114864224
"118",1.1e-06,"Indirect",13.1914,"FipTOT",8,0,1.220139993,"OLS","American toad",0.208656204
"119",1.1e-06,"Indirect",11.7796,"FipTOT",8,0,1.103307511,"OLS","American toad",0.230546973
"120",1.1e-06,"Indirect",9.0658,"FipTOT",8,0,1.397009124,"OLS","American toad",0.210706877
"145",2.7e-06,"Indirect",12.4407,"TNDTOT",8,0,5.213751666,"PLE","American toad",0.115492748
"146",2.7e-06,"Indirect",10.5903,"TNDTOT",8,0,8.969771357,"PLE","American toad",0.089322481
"147",2.7e-06,"Indirect",13.9438,"TNDTOT",8,0,5.190326785,"PLE","American toad",0.426705134
"148",2.7e-06,"Indirect",8.8434,"TNDTOT",8,0,4.831822198,"PLE","American toad",0.119037947
"149",2.7e-06,"Indirect",9.5231,"TNDTOT",8,0,3.108359096,"PLE","American toad",0.175676804
"150",2.7e-06,"Indirect",11.5642,"TNDTOT",8,0,3.280654333,"PLE","American toad",0.165848057
"151",2.7e-06,"Indirect",13.2227,"TNDTOT",8,0,3.389932459,"OLS","American toad",0.388854872
"152",2.7e-06,"Indirect",8.1326,"TNDTOT",8,0,6.291932781,"OLS","American toad",0.369952253
"153",2.7e-06,"Indirect",10.8067,"TNDTOT",8,0,4.692698035,"OLS","American toad",0.259962468
"154",2.7e-06,"Indirect",11.4182,"TNDTOT",8,0,2.191303526,"OLS","American toad",0.486458171
"155",2.7e-06,"Indirect",12.0198,"TNDTOT",8,0,6.594152401,"OLS","American toad",0.189434186
"156",2.7e-06,"Indirect",14.0841,"TNDTOT",8,0,3.866282728,"OLS","American toad",0.273508383
"157",2.7e-06,"Indirect",15.0158,"TNDTOT",8,1,3.806583386,"PLE","American toad",0.103279426
"158",2.7e-06,"Indirect",14.8152,"TNDTOT",8,1,8.660951317,"PLE","American toad",0.071629345
"159",2.7e-06,"Indirect",13.8218,"TNDTOT",8,1,2.629241417,"PLE","American toad",0.105756154
"160",2.7e-06,"Indirect",7.1089,"TNDTOT",8,1,7.05712632,"PLE","American toad",0.026010568
"161",2.7e-06,"Indirect",7.9909,"TNDTOT",8,1,5.763070813,"PLE","American toad",0.21362006
"162",2.7e-06,"Indirect",12.1126,"TNDTOT",8,1,8.179491858,"PLE","American toad",0.141794761
"163",2.7e-06,"Indirect",11.4482,"TNDTOT",8,1,3.623115759,"OLS","American toad",0.10558682
"164",2.7e-06,"Indirect",7.533,"TNDTOT",8,1,6.887993016,"OLS","American toad",0.218474134
"165",2.7e-06,"Indirect",15.9483,"TNDTOT",8,1,5.640249186,"OLS","American toad",0.119080734
"166",2.7e-06,"Indirect",10.4409,"TNDTOT",8,1,3.11171161,"OLS","American toad",0.474085035
"167",2.7e-06,"Indirect",11.141,"TNDTOT",8,1,3.832105687,"OLS","American toad",0.142626446
"168",2.7e-06,"Indirect",12.2923,"TNDTOT",8,1,5.388595843,"OLS","American toad",0.04358855
"241",6.98e-05,"Indirect",7.5145,"Pendi",8,0,10.58560279,"PLE","American toad",5.199951046
"242",6.98e-05,"Indirect",13.2906,"Pendi",8,0,12.26733887,"PLE","American toad",1.811674231
"243",6.98e-05,"Indirect",10.0699,"Pendi",8,0,13.10595638,"PLE","American toad",3.993612884
"244",6.98e-05,"Indirect",13.469,"Pendi",8,0,22.90681995,"PLE","American toad",1.38470843
"245",6.98e-05,"Indirect",11.8384,"Pendi",8,0,20.31371332,"PLE","American toad",2.758089025
"246",6.98e-05,"Indirect",11.6099,"Pendi",8,0,8.079352476,"PLE","American toad",2.539315815
"247",6.98e-05,"Indirect",8.7943,"Pendi",8,0,8.780199562,"OLS","American toad",2.917259067
"248",6.98e-05,"Indirect",12.498,"Pendi",8,0,11.00768858,"OLS","American toad",4.729568549
"249",6.98e-05,"Indirect",14.8081,"Pendi",8,0,6.310025314,"OLS","American toad",6.874438593
"250",6.98e-05,"Indirect",13.4299,"Pendi",8,0,10.01366331,"OLS","American toad",1.492402712
"251",6.98e-05,"Indirect",13.5552,"Pendi",8,0,13.91754836,"OLS","American toad",1.888097365
"252",6.98e-05,"Indirect",8.3589,"Pendi",8,0,17.79580859,"OLS","American toad",4.287971426
"253",6.98e-05,"Indirect",13.5285,"Pendi",8,1,8.724259234,"PLE","American toad",2.879433002
"254",6.98e-05,"Indirect",13.7458,"Pendi",8,1,11.64651601,"PLE","American toad",3.750781295
"255",6.98e-05,"Indirect",11.4246,"Pendi",8,1,11.21634881,"PLE","American toad",2.648653905
"256",6.98e-05,"Indirect",10.0043,"Pendi",8,1,5.697537118,"PLE","American toad",2.314244032
"257",6.98e-05,"Indirect",13.4038,"Pendi",8,1,6.758968643,"PLE","American toad",0.896933721
"258",6.98e-05,"Indirect",10.5726,"Pendi",8,1,14.91187384,"PLE","American toad",5.703493109
"259",6.98e-05,"Indirect",17.4496,"Pendi",8,1,16.05643523,"OLS","American toad",0.875538299
"260",6.98e-05,"Indirect",13.6417,"Pendi",8,1,24.88780061,"OLS","American toad",1.356762725
"261",6.98e-05,"Indirect",9.9412,"Pendi",8,1,10.84702222,"OLS","American toad",3.719878758
"262",6.98e-05,"Indirect",16.3062,"Pendi",8,1,5.135481376,"OLS","American toad",1.277680298
"263",6.98e-05,"Indirect",11.3268,"Pendi",8,1,8.871930181,"OLS","American toad",1.648936582
"264",6.98e-05,"Indirect",10.2275,"Pendi",8,1,14.06687759,"OLS","American toad",1.540378381
